 행정구역 , 2026년03월_전체 ,20-39 여성,20-39,65+,
 전국,51101371,5882899,12287969,11035092,
 서울특별시,9304400,1396690,2709774,1928581,
 부산광역시,3237227,350988,721493,831104,
 대구광역시,2350042,252031,534837,528925,
 인천광역시,3055983,367118,765691,588024,
 광주광역시,1387619,163090,340789,264761,
 대전광역시,1441779,180364,381714,281214,
 울산광역시,1088672,106541,245182,207851,
 세종특별자치시,391072,46471,93484,49148,
 경기도,13745673,1652548,3468875,2487900,
 강원특별자치도,1506843,137438,304744,411360,
 충청북도,1597976,160336,359030,376035,
 충청남도,2136826,207179,461485,510093,
 전북특별자치도 ,1720812,159004,341946,464896,
 전라남도 ,1775126,148713,326373,511649,
 경상북도,2499357,204498,466937,699001,
 경상남도,3198787,281211,6224421,759286,
 제주특별자치도,663177,67679,14494,135264,
